VehId,Trip,anomaly_score,rank
189,2030,0.7001715242442494,1
189,2425,0.6988438409142308,2
169,1641,0.6959621615547387,3
454,1829,0.6874354979908904,4
492,1741,0.6846330072584323,5
542,1895,0.6842633531574894,6
536,485,0.6842241804382911,7
569,1573,0.68178401110609,8
569,750,0.6805973758604724,9
569,358,0.6803527156499336,10
189,1910,0.6794016471071237,11
108,1494,0.678767459691887,12
492,1655,0.6771293886373376,13
567,3779,0.6744854123096251,14
492,1761,0.6716963491202604,15
189,1866,0.6710574715827752,16
503,892,0.6669973298600632,17
545,387,0.6660886281268625,18
465,956,0.6643903537782752,19
492,2581,0.6642813696602866,20
546,739,0.6631036053954104,21
469,645,0.6622392658674873,22
592,594,0.6619588896686371,23
569,1113,0.6618981851065578,24
560,117,0.6610481367415919,25
569,2166,0.6604778290222022,26
492,2874,0.6597659339242544,27
457,3469,0.6595458771042757,28
492,2778,0.6574963830537296,29
157,3410,0.6573289223871916,30
569,1201,0.6561579765515723,31
450,1944,0.652381060840258,32
169,1615,0.6523163992485479,33
592,614,0.6516536937723327,34
240,2393,0.6516307477721038,35
569,2019,0.6500995150554657,36
569,305,0.6493967314592639,37
488,619,0.6488439375273087,38
10,2612,0.6478872022398184,39
457,3229,0.6455855817453617,40
457,1550,0.6452105132469177,41
388,809,0.6430871310645635,42
545,990,0.6426924846120963,43
454,2015,0.6423800745872374,44
575,2949,0.6408633153711923,45
569,2838,0.6405595252573912,46
457,3377,0.6405131082091635,47
319,1507,0.6401773113491304,48
561,2818,0.6401496743369972,49
156,1417,0.6399660015452437,50
545,1312,0.6398153022325248,51
591,859,0.6396874540355241,52
591,264,0.6394595514151337,53
116,2617,0.6371881682375918,54
234,507,0.6371794108647649,55
439,1346,0.6370080976947522,56
10,1793,0.6368265869742485,57
457,2994,0.6333514703458453,58
450,2044,0.6333039115388457,59
459,2078,0.6332504353280456,60
217,1342,0.6331320764637803,61
569,617,0.6326799826445753,62
273,1536,0.6323928639836958,63
536,366,0.6323281292922235,64
569,1742,0.6322999397646267,65
156,1071,0.6320251240491738,66
561,2182,0.6319957376290984,67
430,968,0.6318679208267592,68
250,1393,0.6312746693216844,69
189,2169,0.6312479699662671,70
554,474,0.6308588168968225,71
569,1925,0.6308545781575375,72
569,2731,0.6296378554297017,73
116,2701,0.6294985797262651,74
506,858,0.629347067620488,75
203,658,0.6289772206345602,76
569,2381,0.628740258653377,77
457,1558,0.6286886513230028,78
542,552,0.6286544520237652,79
273,1588,0.6285664275877764,80
311,2384,0.628333937202495,81
203,498,0.6283260859455314,82
560,1043,0.6278142698505685,83
592,921,0.6274601196712781,84
291,2130,0.6272103504773946,85
10,2533,0.627179524432575,86
545,503,0.6266276326742577,87
